name,total_enrollment,state,women_proportion,AIAN_proportion,Asian_proportion,Black_proportion,Hispanic_proportion,NHPI_proportion,White_proportion,MultiRace_proportion,Foreign_proportion
A.T. Still University of Health Sciences,3226,Missouri,0.5588964662120273,0.005889646621202728,0.14042157470551767,0.05269683818970862,0.058586484810911346,0.0030998140111593306,0.6131432114073155,0.06230626162430254,0.01642901425914445
ASA Institute of Business and Computer Technology,4624,New York,0.6265138408304498,0.0008650519031141869,0.07461072664359862,0.32439446366782004,0.3866782006920415,0.0012975778546712802,0.04195501730103806,0.013192041522491349,0.15354671280276816
Abilene Christian University,4427,Texas,0.5787214818161283,0.0040659588886379034,0.010390783826519088,0.08741811610571493,0.1314660040659589,0.0,0.6683984639710865,0.04043370228145471,0.04178902191100068
Abraham Baldwin Agricultural College,3458,Georgia,0.5268941584731058,0.0026026604973973396,0.010410641989589358,0.1176980913823019,0.05696934644303065,0.0002891844997108155,0.7888953152111047,0.008675534991324466,0.01417004048582996
Academy of Art University,15212,California,0.5794767288982382,0.004601630291874836,0.07178543255324743,0.06567183802261373,0.09091506705232712,0.004930318169865895,0.22718906126742044,0.020510123586642125,0.34006047856955035
Adams State University,3154,Colorado,0.5478757133798351,0.011731135066582118,0.011731135066582118,0.06055802155992391,0.25745085605580215,0.0031705770450221942,0.5630944831959417,0.039949270767279645,0.0
Adelphi University,7610,New York,0.7257555847568988,0.001314060446780552,0.07279894875164257,0.1126149802890933,0.13232588699080158,0.0007884362680683311,0.533245729303548,0.020105124835742443,0.05729303547963206
Adirondack Community College,4247,New York,0.5738168118672003,0.004238285848834471,0.00894749234753944,0.0296680009418413,0.031787143866258534,0.0004709206498704968,0.8975747586531669,0.01789498469507888,0.0021191429244172355
Aiken Technical College,2351,South Carolina,0.635899617184177,0.009357720119098255,0.011909825606125054,0.30625265844321564,0.04168438962143769,0.0012760527435133986,0.6095278604849,0.009783071033602722,0.0008507018290089324
Aims Community College,5001,Colorado,0.5806838632273545,0.0065986802639472104,0.01259748050389922,0.015596880623875225,0.3261347730453909,0.001799640071985603,0.6018796240751849,0.019396120775844832,0.0007998400319936012
Alabama A&M University,5333,Alabama,0.5539096193512094,0.002250140633789612,0.00318769923120195,0.9071816988561785,0.006000375023438965,0.0018751171948246765,0.05362835177198575,0.0,0.011063191449465591
Alabama State University,5519,Alabama,0.6214894002536692,0.0014495379597753216,0.003623844899438304,0.8969016126109802,0.012321072658090234,0.0005435767349157456,0.03768798695415836,0.010146765718427252,0.023554991846348978
Alamance Community College,4437,North Carolina,0.6533693937345053,0.006535947712418301,0.01712869055668244,0.20554428668018931,0.0937570430471039,0.000225377507324769,0.6152805949966194,0.023664638269100743,0.018480955600631056
Albany State University,3910,Georgia,0.6900255754475704,0.001534526854219949,0.002301790281329923,0.8823529411764706,0.011508951406649617,0.0005115089514066496,0.06777493606138107,0.005626598465473146,0.0035805626598465474
Albany Technical College,3640,Georgia,0.637087912087912,0.0008241758241758242,0.0027472527472527475,0.8016483516483517,0.011263736263736264,0.0005494505494505495,0.17472527472527472,0.007417582417582417,0.0
Albright College,2393,Pennsylvania,0.5871291266193063,0.005432511491851233,0.032177183451734225,0.15628917676556622,0.0902632678646051,0.0,0.5720852486418722,0.008775595486836606,0.022983702465524447
Alcorn State University,3639,Mississippi,0.6581478428139599,0.0008244023083264633,0.0027480076944215444,0.9304754053311349,0.0032976092333058533,0.003022808463863699,0.028029678483099753,0.015663643858202802,0.015938444627644956
Alexandria Technical and Community College,2604,Minnesota,0.48540706605222733,0.004608294930875576,0.004608294930875576,0.010752688172043012,0.030721966205837174,0.0007680491551459293,0.8966973886328725,0.01881720430107527,0.001152073732718894
Alfred State College,3661,New York,0.39442775198033325,0.002185195301830101,0.01037967768369298,0.09095875443867796,0.060639169625785305,0.0008194482381862879,0.7965036875170718,0.019120458891013385,0.012838022398251844
Alfred University,2310,New York,0.5168831168831168,0.0012987012987012987,0.01904761904761905,0.08225108225108226,0.07142857142857142,0.0,0.6142857142857143,0.021645021645021644,0.04069264069264069
