name,total_enrollment,state,women_proportion,AIAN_proportion,Asian_proportion,Black_proportion,Hispanic_proportion,NHPI_proportion,White_proportion,MultiRace_proportion,Foreign_proportion,early_career_pay,stem_percent,net_cost,type,degree_length,in_state_total,out_of_state_total
Adams State University,3154,Colorado,0.5478757133798351,0.0117311350665821,0.0117311350665821,0.0605580215599239,0.2574508560558021,0.0031705770450221,0.5630944831959417,0.0399492707672796,0.0,44400,3,9163.0,Public,4 Year,18222,29238
Alabama State University,5519,Alabama,0.6214894002536692,0.0014495379597753,0.0036238448994383,0.8969016126109802,0.0123210726580902,0.0005435767349157,0.0376879869541583,0.0101467657184272,0.0235549918463489,39800,16,10795.0,Public,4 Year,16490,24818
Alcorn State University,3639,Mississippi,0.6581478428139599,0.0008244023083264,0.0027480076944215,0.9304754053311348,0.0032976092333058,0.0030228084638636,0.0280296784830997,0.0156636438582028,0.0159384446276449,40900,19,12687.0,Public,4 Year,16752,16752
Andrews University,3418,Michigan,0.4631363370392042,0.002925687536571,0.0921591574019894,0.2053832650672908,0.1339964891749561,0.0038033937975424,0.3051492100643651,0.0207723815096547,0.2126974839087185,47600,7,15494.0,Private,4 Year,38366,38366
Appalachian State University,18026,North Carolina,0.5533118828359037,0.0024409186730278,0.014811938311328,0.0323976478420059,0.0389437479196715,0.0006102296682569,0.8569288805059359,0.0244646621546654,0.0119826916675912,46600,9,5559.0,Public,4 Year,15518,30325
Arkansas Tech University,12002,Arkansas,0.557323779370105,0.0100816530578236,0.0128311948008665,0.0765705715714047,0.0606565572404599,0.0006665555740709,0.776037327112148,0.0257457090484919,0.0374104315947342,45000,7,8671.0,Public,4 Year,16938,23718
Auburn University,25912,Alabama,0.4939024390243902,0.0070623649274467,0.0231938870021611,0.0727848101265822,0.0231167026860142,0.0,0.8048394566224143,0.0,0.0550710095708552,54400,31,11380.0,Public,4 Year,24608,43856
Auburn University at Montgomery,5057,Alabama,0.6393118449673719,0.004548151077714,0.0205655526992287,0.3229187265176982,0.0071188451651176,0.0017797112912794,0.5086019379078505,0.0268934150682222,0.0452837650781095,45000,12,9611.0,Public,4 Year,17268,29028
Augusta University,7988,Georgia,0.6233099649474211,0.0031296945418127,0.0625938908362543,0.2111917876815222,0.0498247371056584,0.0027541311967951,0.5781171757636455,0.0410615923885828,0.0189033550325488,47000,10,5605.0,Public,4 Year,20398,39436
Austin Peay State University,10111,Tennessee,0.6042923548610424,0.0039560874295321,0.0155276431609138,0.1881119572742557,0.0568687567995252,0.0018791415290277,0.6564138067451291,0.0508357234694886,0.0042527939867471,44200,10,8510.0,Public,4 Year,19111,35167
