name,early_career_pay,stem_percent
Auburn University,54400,31
University of Alabama in Huntsville,57500,45
The University of Alabama,52300,15
Tuskegee University,54500,30
Samford University,48400,3
Spring Hill College,46600,12
Birmingham Southern College,49100,27
University of Alabama at Birmingham,48600,17
University of South Alabama,47700,17
Alabama A&M University,48700,20
Troy University,44500,8
Jacksonville State University,43800,7
Auburn University at Montgomery,45000,12
Huntingdon College,42400,14
Oakwood University,43500,16
Athens State University,45000,9
University of West Alabama,42700,4
University of North Alabama,43000,6
University of Mobile,40600,7
Alabama State University,39800,16
Faulkner University,39400,2
University of Montevallo,38900,7
Judson College,37900,13
Miles College,34800,19
University of Alaska Fairbanks,59100,20
University of Alaska Anchorage,56000,10
Alaska Pacific University,50300,6
Embry-Riddle Aeronautical University-Prescott,65600,43
University of Arizona,56100,23
Arizona State University-Tempe,54500,30
Northern Arizona University,49600,12
Ottawa University-Phoenix,42000,0
Prescott College,41200,0
University of Arkansas,52500,18
Hendrix College,48100,33
University of Arkansas for Medical Sciences,51700,3
Harding University,49200,10
John Brown University,47000,9
Arkansas State University-Main Campus,44600,7
University of Arkansas at Little Rock,45600,13
Ouachita Baptist University,44100,18
Southern Arkansas University Main Campus,42800,53
Henderson State University,42900,5
University of Central Arkansas,44900,8
University of Arkansas at Monticello,43500,2
Arkansas Tech University,45000,7
University of the Ozarks,42300,16
Lyon College,41200,33
University of Arkansas-Fort Smith,40700,9
University of Arkansas at Pine Bluff,40500,22
Harvey Mudd College,88800,85
Samuel Merritt University,91200,0
California Institute of Technology,84100,97
Stanford University,79000,51
Santa Clara University,69900,29
University of California-Berkeley,70700,36
California State University Maritime Academy,70500,15
Claremont McKenna College,68500,16
University of California-San Diego,63400,58
University of Southern California,64500,23
California Polytechnic State University-San Luis Obispo,65600,38
Pomona College,63800,37
University of California-Santa Barbara,59700,29
University of California-Los Angeles,62000,31
University of California-Irvine,59600,34
San Jose State University,63000,28
Loyola Marymount University,58500,9
University of California-Davis,61500,35
Menlo College,61900,0
California State Polytechnic University-Pomona,57700,30
Saint Mary's College of California,59900,5
University of San Francisco,60600,6
Golden Gate University-San Francisco,59200,3
University of San Diego,58900,12
Colorado School of Mines,75600,93
United States Air Force Academy,76300,43
University of Colorado Boulder,57800,39
University of Denver,55700,12
Colorado College,53100,23
Colorado State University-Fort Collins,53500,28
University of Colorado Denver/Anschutz Medical Campus,53200,17
Regis University,55500,13
University of Colorado Colorado Springs,52200,21
Colorado State University-Pueblo,48100,13
Metropolitan State University of Denver,49400,11
University of Northern Colorado,47700,7
Fort Lewis College,48300,19
Western State Colorado University,44800,19
Colorado Mesa University,47800,7
Adams State University,44400,3
Colorado Christian University,46800,2
Johnson & Wales University-Denver,41500,0
Yale University,70300,22
United States Coast Guard Academy,67300,69
Wesleyan University,61600,21
Fairfield University,62300,17
Trinity College,60100,22
University of Connecticut,59100,24
University of Hartford,55200,15
Connecticut College,57500,30
Sacred Heart University,55000,15
Quinnipiac University,55900,10
University of New Haven,52100,25
Central Connecticut State University,53100,15
University of Bridgeport,49900,31
University of Saint Joseph,49900,9
Western Connecticut State University,51700,6
Eastern Connecticut State University,49200,14
Charter Oak State College,49200,2
Albertus Magnus College,49700,2
Southern Connecticut State University,48500,6
University of Delaware,58600,22
Goldey-Beacom College,49800,25
Delaware State University,46300,10
Wesley College,45400,2
Wilmington University,45100,4
Embry-Riddle Aeronautical University-Daytona Beach,63300,35
Polytechnic University of Puerto Rico-Miami,60600,10
Florida Institute of Technology,58300,48
University of Florida,55800,29
Polytechnic University of Puerto Rico-Orlando,57600,29
University of Miami,56200,22
Embry-Riddle Aeronautical University-Worldwide,55800,3
Florida State University,50800,18
The University of Tampa,49200,8
University of South Florida-Main Campus,49700,25
Florida Atlantic University,49400,15
Jacksonville University,50100,5
Florida International University,49600,16
Adventist University of Health Sciences,51600,5
Nova Southeastern University,50200,9
University of Central Florida,49700,16
Eckerd College,49200,25
Rollins College,49000,7
University of North Florida,48800,11
New College of Florida,47300,4
Stetson University,47000,7
Lynn University,46100,2
St Thomas University,47400,4
Barry University,47400,12
Florida Agricultural and Mechanical University,48000,8
Georgia Institute of Technology-Main Campus,72700,80
Emory University,62000,20
University of Georgia,54400,14
Morehouse College,55700,26
Kennesaw State University,52500,22
Oglethorpe University,52400,12
Georgia State University,50600,18
