name,net_cost,type,degree_length,in_state_total,out_of_state_total
ASA College,20916.0,For Profit,2 Year,23565,23565
Abilene Christian University,21258.0,Private,4 Year,45200,45200
Abraham Baldwin Agricultural College,6026.0,Public,2 Year,12602,21024
Academy of Art University,28284.0,For Profit,4 Year,44458,44458
Adams State University,9163.0,Public,4 Year,18222,29238
Adelphi University,21725.0,Private,4 Year,54690,54690
Adirondack Community College,4412.0,Public,2 Year,17035,21595
Adrian College,11870.0,Private,4 Year,48405,48405
Adventist University of Health Sciences,16198.0,Private,4 Year,19350,19350
Agnes Scott College,16922.0,Private,4 Year,53490,53490
Alabama State University,10795.0,Public,4 Year,16490,24818
Alaska Bible College,5697.0,Private,4 Year,15000,15000
Alaska Pacific University,31095.0,Private,4 Year,28130,28130
Albany College of Pharmacy and Health Sciences,20420.0,Private,4 Year,46025,46025
Albany State University,13070.0,Public,4 Year,15604,28680
Albertus Magnus College,21777.0,Private,4 Year,45260,45260
Albion College,14723.0,Private,4 Year,58155,58155
Albright College,19163.0,Private,4 Year,57376,57376
Alcorn State University,12687.0,Public,4 Year,16752,16752
Alfred University,13781.0,Private,4 Year,46000,46000
Allegheny College,14846.0,Private,4 Year,59680,59680
Allegheny Wesleyan College,4154.0,Private,4 Year,10400,10400
Allen College,29032.0,Private,4 Year,27252,27252
Allen County Community College,4261.0,Public,2 Year,8220,8220
Allen University,15002.0,Private,4 Year,20570,20570
Alma College,15822.0,Private,4 Year,51256,51256
Alverno College,13578.0,Private,4 Year,36848,36848
American Baptist College,13382.0,Private,4 Year,19590,19590
American International College,17796.0,Private,4 Year,49980,49980
American Jewish University,38094.0,Private,4 Year,49188,49188
Amherst College,3614.0,Private,4 Year,71166,71166
Ancilla College,14521.0,Private,2 Year,26930,26930
Anderson University,15161.0,Private,4 Year,37830,37830
Anderson University,15161.0,Private,4 Year,40340,40340
Andrew College,13904.0,Private,2 Year,28024,28024
Andrews University,15494.0,Private,4 Year,38366,38366
Angelina College,7039.0,Public,2 Year,8125,11035
Angelo State University,9900.0,Public,4 Year,17619,30069
Anna Maria College,22170.0,Private,4 Year,52490,52490
Antioch College,8916.0,Private,4 Year,43358,43358
Appalachian Bible College,11232.0,Private,4 Year,22680,22680
Appalachian State University,5559.0,Public,4 Year,15518,30325
Aquinas College,9769.0,Private,4 Year,41906,41906
Arcadia University,20926.0,Private,4 Year,57380,57380
Arizona Christian University,21553.0,Private,4 Year,37470,37470
Arizona Western College,8363.0,Public,2 Year,9220,16210
Arkansas Baptist College,17123.0,Private,4 Year,17586,17586
Arkansas Tech University,8671.0,Public,4 Year,16938,23718
Arlington Baptist University,12129.0,Private,4 Year,19690,19690
Armstrong State University,11916.0,Public,4 Year,17769,31251
Art Academy of Cincinnati,12687.0,Private,4 Year,40589,40589
Asbury University,17404.0,Private,4 Year,37358,37358
Ashland University,17639.0,Private,4 Year,31283,31283
Assumption College,18192.0,Private,4 Year,53652,53652
Auburn University,11380.0,Public,4 Year,24608,43856
Auburn University at Montgomery,9611.0,Public,4 Year,17268,29028
Augsburg University,15815.0,Private,4 Year,49080,49080
Augusta University,5605.0,Public,4 Year,20398,39436
Augustana College,16232.0,Private,4 Year,52707,52707
Augustana University,13981.0,Private,4 Year,41266,41266
Aurora University,13575.0,Private,4 Year,35960,35960
Austin College,17150.0,Private,4 Year,52512,52512
Austin Peay State University,8510.0,Public,4 Year,19111,35167
Ave Maria University,16329.0,Private,4 Year,32286,32286
Averett University,16443.0,Private,4 Year,44376,44376
Avila University,16543.0,Private,4 Year,27100,27100
Azusa Pacific University,22018.0,Private,4 Year,48956,48956
Babson College,18789.0,Private,4 Year,67416,67416
Baker University,17951.0,Private,4 Year,38240,38240
Baldwin Wallace University,15313.0,Private,4 Year,42140,42140
Ball State University,9038.0,Public,4 Year,20130,36702
Baptist Bible College,10566.0,Private,4 Year,21650,21650
Baptist Missionary Association Theological Seminary,1673.0,Private,4 Year,9840,9840
Baptist University of the Americas,11577.0,Private,4 Year,10300,10300
Barclay College,8512.0,Private,4 Year,28990,28990
Bard College,23375.0,Private,4 Year,70168,70168
Bard College at Simon's Rock,28125.0,Private,4 Year,70648,70648
Barnard College,10190.0,Private,4 Year,72257,72257
Barry University,16578.0,Private,4 Year,40950,40950
Barton College,19350.0,Private,4 Year,41000,41000
Barton County Community College,6024.0,Public,2 Year,9234,9234
Bates College,9095.0,Private,4 Year,69018,69018
Bay Path University,16768.0,Private,4 Year,47024,47024
Bay State College,23330.0,For Profit,2 Year,41050,41050
Baylor University,21454.0,Private,4 Year,58322,58322
Beacon College,33771.0,Private,4 Year,50406,50406
Becker College,22419.0,Private,4 Year,53000,53000
Beis Medrash Heichal Dovid,9076.0,Private,4 Year,14000,14000
Belhaven University,21438.0,Private,4 Year,33800,33800
Bellarmine University,18411.0,Private,4 Year,54450,54450
Bellevue University,10704.0,Private,4 Year,18120,18120
Belmont Abbey College,22672.0,Private,4 Year,28855,28855
Belmont University,26120.0,Private,4 Year,46430,46430
Beloit College,13416.0,Private,4 Year,58870,58870
Bemidji State University,9875.0,Public,4 Year,17104,17104
Benedict College,15657.0,Private,4 Year,22800,22800
Benedictine College,18057.0,Private,4 Year,39830,39830
Benedictine University,14023.0,Private,4 Year,43770,43770
Benjamin Franklin Institute of Technology,13281.0,Private,2 Year,31090,31090
Bennington College,17712.0,Private,4 Year,69970,69970
Bentley University,19429.0,Private,4 Year,66200,66200
Berea College,169.0,Private,4 Year,46754,46754
Berklee College of Music,37051.0,Private,4 Year,60930,60930
Berry College,16166.0,Private,4 Year,49326,49326
Bethany College,16807.0,Private,4 Year,39080,39080
Bethany College,16807.0,Private,4 Year,40353,40353
Bethany Lutheran College,12292.0,Private,4 Year,35750,35750
Bethel College,5011.0,Private,4 Year,37590,37590
Bethel College,5011.0,Private,4 Year,37630,37630
Bethel University,16038.0,Private,4 Year,25750,25750
Bethel University,16038.0,Private,4 Year,47820,47820
Bethune-Cookman University,17073.0,Private,4 Year,24226,24226
Beulah Heights University,6576.0,Private,4 Year,15880,15880
Bevill State Community College,7641.0,Public,2 Year,6070,9940
Big Bend Community College,5413.0,Public,2 Year,7809,13240
Biola University,24125.0,Private,4 Year,51218,51218
Bismarck State College,5548.0,Public,2 Year,12584,14579
Black Hills State University,12382.0,Public,4 Year,15711,18756
Blackburn College,10684.0,Private,4 Year,30340,30340
Blackfeet Community College,7381.0,Public,2 Year,10377,10377
Blinn College,11969.0,Public,2 Year,11643,18153
Bloomfield College,15734.0,Private,4 Year,41500,41500
Bloomsburg University of Pennsylvania,13668.0,Public,4 Year,20644,32218
Blue Mountain College,9776.0,Private,4 Year,18878,18878
Bluefield College,18836.0,Private,4 Year,34314,34314
Bluffton University,17622.0,Private,4 Year,43566,43566
Bob Jones University,13999.0,Private,4 Year,25126,25126
Boise Bible College,16437.0,Private,4 Year,18720,18720
Boise State University,10816.0,Public,4 Year,18386,34468
Boston Architectural College,26246.46,Private,4 Year,35174,35174
Boston Baptist College,17326.0,Private,4 Year,20410,20410
Boston College,15564.0,Private,4 Year,69942,69942
Boston University,26951.0,Private,4 Year,69668,69668
Bowdoin College,4936.0,Private,4 Year,68620,68620
Bowie State University,9568.0,Public,4 Year,19137,29777
Bradley University,14732.0,Private,4 Year,44380,44380
Brandeis University,12754.0,Private,4 Year,70835,70835
Brenau University,13931.0,Private,4 Year,41468,41468
Brescia University,8491.0,Private,4 Year,31600,31600
Brevard College,15471.0,Private,4 Year,39250,39250
Brewton-Parker College,14741.0,Private,4 Year,26540,26540
Briar Cliff University,25371.0,Private,4 Year,40984,40984
Bridgewater College,18127.0,Private,4 Year,47880,47880
